Recipe with prompt,Human score,Total possible score 
"Tony's Steak, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Smashed Baby Red Potatoes with Ancho Chiles and Dry Jack Cheese, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Beet It Juice, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Brothy Heirloom Beans With Cream, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Gin & Tonic_5355, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",0,2
"Pan Fried Fishcakes, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Chai Spiced Hot Toddy, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Cinnamon-Scented Breakfast Quinoa, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Pan Roasted Chicken with Carrots and Almonds, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Summer Bean Soup With Tomato Brown Butter, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Pan Grilled Steak, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Peach and Pistachio Praline Semifreddo, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Pastrami Salmon, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Granola, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Manhattan_13086, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",0,2
"Electron, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",0,2
"Yorkshire Pudding with Bacon and Sage, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Semolina Gnocchi with Oxtail RagÃ¹, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Roasted Black Sea Bass with Tomato and Olive Salad, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Fuji Apple Spice Cake with Cream Cheese Frosting, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Spiced Pistachios, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Peches Melba, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",0,2
"Grilled Steak With Peas and Eggplant Over Whipped Ricotta, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Snapper EscabÃ¨che with Charred Scallions, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Molasses Sponge Candy, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Easy General Tso's Chicken, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Chocolate Malt Ice Cream, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Seared Rib Eye Steak with Tomato Caper Relish, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Gratineed Mustard Creamed Onions, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Deviled Eggs and Pickled Beets, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Coconut Rice Puddings with Crispy Coconut, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Unfried Chicken with Roasted Brussels Sprouts, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Stuffed Baby Potatoes, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Miso Chicken, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Nachos With All the Fixings, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Tarragon Lobster Roll, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Seafood Gumbo, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Pork Chile Verde with Red Chile Salsa, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Mustard Seed Crusted Prime Rib Roast with Roasted Balsamic Onions, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Make Ahead Instant Pot Grilled Ribs, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Shaved Mushroom, Celery, and Sesame Salad, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Coleslaw, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Jerk Baby Back Ribs With Pineapple Salsa, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Slow Cooker Green Chicken Chili, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Lemongrass Pork Patties With Vietnamese Dipping Sauce, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Wild Rice Crusted Halibut, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Soy Basted Pork Chops with Herbs and JalapeÃ±os, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Roasted Hazelnuts with Thyme, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Linguine and Clams with Almonds and Herbs, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Orange Poppy Seed Pancakes with Rosemary Maple Syrup, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"German Style Potato and Ham Salad, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Poached Eggs with Mushroom, Tamarillo, and Sage, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Lemon Raspberry French Toast Strata, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Apricot Linzertorte with Quark Whipped Cream, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Roasted Garlic Asparagus, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Bulgur with Herbs, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Squid, Lemon, and Zucchini Blossom Fritto Misto, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Instant Pot Shrimp Scampi, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Chopped Salad with Shallot Vinaigrette, Feta, and Dill, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Carrot Soup with Thyme and Fennel, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Strawberry Lemonade Smash, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Roasted Carrot Soup with Dukkah Spice and Yogurt, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Spiced Dal with Fluffy Rice and Salted Yogurt, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Endive & Snap Pea Salad with Parmesan Dressing, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Sea Bass in Papillote, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Grilled Vegetable and Mozzarella Panini, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Mexican Street Corn (Elote), top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Yummy Mummy Meatloaf, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Marinated Tofu with Peanuts and Charred Bean Sprouts, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Crawfish Salad, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Roast Chicken with Artichokes and Gremolata Butter, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Miso Soup with Sweet Potato Dumplings, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Mr. Tingles' Punch, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Chicken & Rice Soup, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Perfect Circle, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",0,2
"Shrimp, Lobster, and Jicama Salad, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Coconut Cake with Chocolate Chunks and Coconut Drizzle, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Slow Roasted Andalusian Style Lamb and Potatoes, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"To Make an Excellent Cherry Bounce, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Toasted Almond Cake with Strawberries in RosÃ© Water Syrup, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Warm New Potato Salad with Grainy Mustard, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Herb Salad with Pickled Red Onion and Preserved Lemon, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Spiced Black Lentils with Yogurt and Mint, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Spinach, Fennel, and Sausage Stuffing with Toasted Brioche, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Sisi's Corn Pudding, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Orange Upside Down Cake_8272, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Saffron Quinoa with Dried Cherries and Almonds, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Turnips with Bacon and Pickled Mustard Seeds, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Corned Beef Hash, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Best Cocoa Brownies, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Amaranth Walnut Cookies with Brandy, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Ruben's Cooler No. 2, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",0,2
"Marinated Goat Cheese with Herbs and Spices, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"White Chocolate and Peppermint Cookie Brittle, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Roast Chicken with Potatoes and Olives, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Turkey and Mushroom Risotto, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Miso Tofu Ranch Dip, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Linguine with Pesto Trapanese, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Fennel  and Coriander Spiced Salmon Fillets, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Ginger and Pink Grapefruit Cheesecake, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Scallops with Cilantro Sauce and Asian Slaw, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Paella with Tomatoes and Eggs, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Caramel Popcorn, Salted Almond, and Malt Cookies, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Broiled Chicken, Romaine, and Tomato Bruschetta, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Chocolate Chip, Peanut Butter, and Banana Cookies, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Shaved Brussels Sprout Salad with Fresh Walnuts and Pecorino, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Herbed Rack of Lamb with Parsley, Mint, and Walnut SautÃ©, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Sparkling Tarragon Gin Lemonade, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Spiced Rum No. 5, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Your New Favorite Pork Chops, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Spaghetti with Lobster Pomodoro, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Swiss Chard Lasagna with Ricotta and Mushroom, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Broiled Polenta Sticks, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Ambrosia Macaroons, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"JalapeÃ±o Poppers with Smoked Gouda, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Make Ahead Whipped Cream, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Brussels Sprouts With Pistachios and Lime, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Herbed Garlic and Parmesan Croutons, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Yogurt & Matcha Swirl With Mango, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Peameal Bacon, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Crispy Creamy Rock Shrimp with Sweet Chile Aioli and Apple Slaw, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Simply Strawberry Sorbet, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Empanada Dough, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Bruschette with Chickpea PurÃ©e and Arugula, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Baked Polenta with Tomato Sauce and Ricotta, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Spicy Chickpea Poppers, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Coffee Crunch Bars, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Carrot Cake Smoothie, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Honeydew, Cantaloupe and Prosciutto Salad, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Grilled New York Steaks with San Marzano Sauce, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Fava Bean and Pea Salad with Poppy Seed Dressing, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Brothy Noodle Bowl with Mushrooms and Chiles, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Braised Beef and Onions, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Cauliflower Steaks with Coconut Turmeric Relish, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Best Ever Grilled Cheese, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Spiced Fresh Orange and Honey Sorbet, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Braised Beef Short Ribs, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Bourbon Brown Butter Pecan Pie, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Cranberry Linzer Tart, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Corvina Traditional, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Mixed Greens and Sausage Soup with Cornmeal Dumplings, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Warm Onion Tart with Thyme, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Vesper_3439, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",0,2
"Bobby Burns, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",0,2
"Creamy Mac and Cheese, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Sourdough Stuffing with Sausage, Apples, and Golden Raisins, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Ganache For Hot Chocolate and Mochas, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Persimmon Cake with Cream Cheese Icing, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Fish Vermicelli with Fresh Dill and Pineapple Sauce, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Herb and Garlic Lamb with Green Olive Salad, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Fried Squid with Aioli, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Weeknight Beans on Toast, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Our Favorite Cinnamon Rolls, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",3,2
"Mediterranean Roast Beef Pita, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Romaine Wedges with Tangy Blue Cheese Vinaigrette, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Salt Cod in Tomato Garlic Confit, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Roasted Garlic Oil, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",0,2
"Butter Cookies with Dulce de Leche, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Shrimp and Watermelon Skillet, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Dark and Stormy, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Mole Roasted Turkey with Masa Stuffing and Chile Gravy, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Oystertini, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Chipotle Cranberry Sauce, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"White Bean Salad_6172, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Sole Meuniere with Rice Pilaf, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Classic BBQ Baked Beans, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Tipsy Tea with Homemade Sweet Tea, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",1,2
"Tandoori Chicken and Vegetable Sheet Pan Supper, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Pasta Dough for Handmade Shapes, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Beef and Broccoli Stir Fry, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Whole-Wheat Scones, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Perciatelli with Roasted Tomato and Almond Pesto, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Flank Steak with Artichoke Potato Hash and Aleppo Pepper Aioli, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Fregola with Green Peas, Mint, and Ricotta, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Pumpkin Tart with Anise Seed Crust, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Belgian Leek Tart with Aged Goat Cheese (Flamiche Aux Poireaux), top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Fennel and Turnip Crudites with Fennel Salt, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",0,2
"The Greenest Smoothie, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Pasta with 10 Minute Pesto, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
"Red Velvet Mug Cake, top view, in a luxurious Michelin kitchen style, studio lighting, depth of field, ultra detailed,",2,2
